"","site","type","lat","lon","N","R2","rMAE","CV_GPP","CV_W","CV_T","CV_TW","Residuals","rT_unique","rW_unique","rTW_shared","rTW_total","MAT","MAP"
"27","CA-NS7","OSH",56.63583,-99.94833,31,0.843324787980904,0.336836441610429,0.931806362228663,0.145936877030467,0.686886351791302,0.750207177468774,0.1375,-0.0025,0.0033,0.427826086956522,0.428521739130435,-1.98717141867388,580.984290949884
"28","CA-Oas","DBF",53.62889,-106.19779,83,0.957482486491649,0.324558683436445,1.0452065225798,0.279959085390764,0.58474264156045,0.716285496678175,0.126,0.0012,0.0372,0.44233409610984,0.480663615560641,1.60497151673002,545.019793771091
"29","CA-Obs","ENF",53.98717,-105.11779,99,0.875549350991641,0.410892310396157,0.877126844108834,0.207642679440517,0.75819243500949,0.817247112098991,0.0515,0.1362,-1e-04,0.365629942013706,0.50173958882446,0.964557326744966,558.433186275147
"30","CA-Qfo","ENF",49.6925,-74.34206,70,0.744434198089788,0.4993479507904,0.68455805217774,0.180544304184083,0.615345765764919,0.628876021423184,0.2226,0.1179,-0.0017,0.372781065088757,0.488808850012863,0.868114791960295,1084.00082390744
"31","CA-SF1","ENF",54.48503,-105.81757,43,0.869260568457695,0.386656185271784,0.755887753236178,0.201738231100548,0.894918624903451,0.941199526182947,0.0904,0.1172,0.0052,0.356860158311346,0.479221635883905,1.11181270864097,594.290200136486
"32","CA-SF2","ENF",54.25392,-105.8775,56,0.859746266278953,0.383231893794321,0.855965222852224,0.205361247043524,0.953343081445325,1.0374887793398,0.1266,0.0203,0.0263,0.416647584153881,0.463247080375544,1.29648985308273,564.778538805627
"33","CA-SF3","OSH",54.09156,-106.00526,50,0.908781217525578,0.544062056868854,0.826884974216656,0.210418489175169,0.818526889138095,0.892992847896941,0.0854,0.0092,0.0233,0.373059260879073,0.405532473212333,1.58983316621027,561.988038830343
"34","CA-TP1","ENF",42.66093611,-80.55951944,128,0.416759830135536,1.14394341720793,0.918648600085983,0.183369393734613,0.540364512233303,0.564895983321252,0.5435,0.0386,0.0131,0.35881708652793,0.410514786418401,9.18967998421681,1116.25082891423
"35","CA-TP2","ENF",42.77441944,-80.458775,59,0.65361359030746,0.444253717747354,0.759639645807758,0.160814557554299,0.640524898014895,0.672579282399497,0.2795,0.022,0.0404,0.353920888272033,0.416238723108952,9.05129506245726,1056.87711289762
"36","CA-TP3","ENF",42.70681111,-80.34831389,137,0.776117957918089,0.547779706829749,0.785387066388738,0.194369585509971,0.590468841557627,0.614760689796633,0.1893,0.0101,0.007,0.353521647958554,0.370667324534353,9.34414395261643,1120.79461888709
"37","CA-TP4","ENF",42.710161,-80.357376,141,0.844423152076265,0.439694364406056,0.827641039749441,0.222915428249533,0.550896439393029,0.595616567577915,0.1535,0.0289,0.0232,0.364914353219138,0.41701122268163,9.2571406973513,1122.11583257952
"38","CG-Tch","SAV",-4.28917,11.65642,13,0.388560593980193,0.47616977321937,0.776434478258806,0.179077223020122,0.0116985656338542,0.184252907034386,0.2672,-0.0369,0.6275,0.230485807860262,0.821097161572052,24.6777009592284,1504.55280121404
"39","CH-Cha","GRA",47.21022,8.41044,116,0.702203094929857,0.362859663049869,0.569908848248164,0.0861030913546023,0.484892838526978,0.459911841040267,0.2602,0.0578,0.0048,0.397404703974047,0.460124357934577,9.41285074095492,1560.25173118947
"40","CH-Dav","ENF",46.81533,9.85591,157,0.719046009188912,0.396925163743223,0.696539928101815,0.163483037052862,0.575113121774893,0.573901753046737,0.1261,0.0764,0.0022,0.370179654422703,0.448792768051264,-1.32383873425226,1489.6342896048
"41","CH-Fru","GRA",47.11583,8.53778,114,0.7591477723026,0.31890572679791,0.719013938560641,0.175812334153801,0.454355165261371,0.479894323697688,0.2017,0.0417,-4e-04,0.344231491920331,0.385569334836528,9.13291933959869,1897.42215972382
"42","CH-Lae","MF",47.47833,8.36439,126,0.87614156691323,0.384483263634115,0.671669105214382,0.148528165947806,0.479786984514623,0.533491456709537,0.1206,-0.0011,0.0255,0.334659995451444,0.358994769160791,9.67029663464149,1128.97302037714
"43","CH-Oe1","GRA",47.28583,7.73194,79,0.644185944487443,0.389059157355998,0.676606931865329,0.118016983292984,0.480551601071595,0.471020764028208,0.2893,0.0243,0.0087,0.317714928943295,0.350640213873646,9.18307403414008,1482.42698933917
"44","CH-Oe2","CRO",47.28642,7.73375,126,0.456545363174219,0.618939919720399,1.05702636269448,0.12711183059569,0.489025675082476,0.464083868175672,0.4315,0.0681,0.1234,0.0661389621811785,0.257519788918206,9.18307403414008,1482.42698933917
"45","CN-Cng","GRA",44.5934,123.5092,44,0.912519456780055,0.549948122911799,1.17952917417807,0.227997904992535,0.820776290760937,0.892006817961806,0.1203,0.0067,0.0224,0.331135614414005,0.360236444242355,6.48104781356341,489.534382286055
